name,color,aroma,regions
Роза,Красный,сильный,Европа
Тюльпан,Жёлтый,умеренный,Азия
Лилия,Белый,сильный,Европа
Ромашка,Белый,слабый,Средняя полоса
Орхидея,Фиолетовый,умеренный,Тропики
Гвоздика,Розовый,сильный,Средняя полоса
Пион,Розовый,сильный,Азия
Нарцисс,Жёлтый,умеренный,Европа
Хризантема,Белый,слабый,Азия
Ирис,Синий,умеренный,Европа
Незабудка,Синий,слабый,Европа
Лаванда,Фиолетовый,сильный,Средняя полоса
Мак,Красный,слабый,Средняя полоса
Васильки,Синий,слабый,Европа
Фиалка,Фиолетовый,умеренный,Европа
