name,color,aroma,regions
Гвоздика,Оранжевый,слабый,Азия
Незабудка,Оранжевый,умеренный,Австралия
Лилия,Розовый,сильный,Европа
Роза,Розовый,слабый,Африка
Ирис,Белый,слабый,Средняя полоса
Роза,Красный,слабый,Средняя полоса
Мак,Бордовый,сильный,Европа
Лилия,Бордовый,сильный,Австралия
Орхидея,Синий,умеренный,Европа
Пион,Красный,сильный,Австралия
Ирис,Розовый,сильный,Европа
Орхидея,Бордовый,умеренный,Азия
Пион,Красный,слабый,Австралия
Лилия,Розовый,умеренный,Тропики
Хризантема,Розовый,сильный,Субтропики
Ирис,Фиолетовый,сильный,Америка
Роза,Красный,слабый,Тропики
Фиалка,Синий,слабый,Америка
Орхидея,Красный,сильный,Азия
Незабудка,Белый,умеренный,Средняя полоса
Тюльпан,Синий,умеренный,Субтропики
Роза,Белый,слабый,Америка
Ромашка,Белый,умеренный,Субтропики
Орхидея,Розовый,умеренный,Азия
Хризантема,Синий,сильный,Европа
Фиалка,Оранжевый,слабый,Америка
Фиалка,Розовый,слабый,Тропики
Хризантема,Фиолетовый,слабый,Африка
Тюльпан,Синий,сильный,Австралия
Роза,Бордовый,сильный,Субтропики
Гвоздика,Фиолетовый,сильный,Австралия
Мак,Синий,умеренный,Тропики
Орхидея,Синий,умеренный,Африка
Лилия,Жёлтый,слабый,Азия
Тюльпан,Красный,слабый,Америка
Лаванда,Розовый,сильный,Африка
Роза,Красный,слабый,Азия
Незабудка,Фиолетовый,слабый,Субтропики
Лаванда,Синий,сильный,Тропики
Гвоздика,Фиолетовый,сильный,Тропики
Мак,Оранжевый,умеренный,Америка
Орхидея,Красный,сильный,Африка
Орхидея,Фиолетовый,сильный,Средняя полоса
Незабудка,Синий,умеренный,Африка
Васильки,Синий,умеренный,Америка
Тюльпан,Бордовый,слабый,Субтропики
Лаванда,Фиолетовый,умеренный,Азия
Лаванда,Жёлтый,умеренный,Европа
Нарцисс,Фиолетовый,умеренный,Европа
Роза,Розовый,сильный,Азия
Роза,Бордовый,умеренный,Америка
Орхидея,Синий,умеренный,Средняя полоса
Васильки,Белый,сильный,Австралия
Пион,Синий,слабый,Азия
Ромашка,Бордовый,сильный,Австралия
Орхидея,Фиолетовый,сильный,Тропики
Васильки,Синий,слабый,Африка
Ирис,Красный,слабый,Америка
Мак,Белый,сильный,Америка
Васильки,Бордовый,умеренный,Африка
Мак,Красный,слабый,Африка
Орхидея,Бордовый,сильный,Африка
Ромашка,Фиолетовый,умеренный,Европа
Мак,Жёлтый,слабый,Африка
Роза,Белый,умеренный,Австралия
Пион,Розовый,сильный,Средняя полоса
Тюльпан,Жёлтый,умеренный,Азия
Фиалка,Белый,сильный,Азия
Нарцисс,Синий,слабый,Америка
Гвоздика,Красный,слабый,Африка
Фиалка,Белый,сильный,Средняя полоса
Нарцисс,Фиолетовый,сильный,Азия
Орхидея,Бордовый,сильный,Африка
Ирис,Бордовый,умеренный,Америка
Роза,Красный,сильный,Африка
Васильки,Фиолетовый,сильный,Средняя полоса
Лилия,Синий,умеренный,Америка
Фиалка,Синий,сильный,Австралия
Незабудка,Красный,слабый,Африка
Ромашка,Белый,слабый,Субтропики
Гвоздика,Розовый,умеренный,Тропики
Ирис,Розовый,умеренный,Субтропики
Тюльпан,Оранжевый,слабый,Азия
Орхидея,Синий,сильный,Средняя полоса
Роза,Оранжевый,умеренный,Африка
Незабудка,Белый,сильный,Средняя полоса
Нарцисс,Оранжевый,сильный,Африка
Ирис,Красный,сильный,Тропики
Незабудка,Розовый,умеренный,Австралия
Фиалка,Оранжевый,сильный,Средняя полоса
Гвоздика,Фиолетовый,сильный,Азия
Васильки,Синий,слабый,Средняя полоса
Ромашка,Белый,умеренный,Азия
Мак,Бордовый,умеренный,Австралия
Нарцисс,Жёлтый,сильный,Тропики
Тюльпан,Бордовый,слабый,Австралия
Васильки,Бордовый,умеренный,Азия
Гвоздика,Жёлтый,умеренный,Средняя полоса
Незабудка,Оранжевый,слабый,Субтропики
Васильки,Розовый,слабый,Тропики
Ирис,Оранжевый,сильный,Тропики
Лилия,Оранжевый,слабый,Средняя полоса
Ирис,Синий,сильный,Африка
Тюльпан,Бордовый,умеренный,Тропики
Роза,Жёлтый,сильный,Африка
Хризантема,Розовый,слабый,Америка
Ирис,Бордовый,сильный,Азия
Незабудка,Красный,сильный,Америка
Орхидея,Белый,слабый,Африка
Ирис,Фиолетовый,слабый,Средняя полоса
Ирис,Жёлтый,умеренный,Австралия
Тюльпан,Синий,умеренный,Средняя полоса
Ромашка,Жёлтый,сильный,Австралия
Фиалка,Бордовый,умеренный,Америка
Васильки,Бордовый,умеренный,Америка
Лаванда,Жёлтый,умеренный,Средняя полоса
Хризантема,Фиолетовый,умеренный,Субтропики
Лилия,Белый,слабый,Америка
Орхидея,Синий,сильный,Субтропики
Ирис,Красный,сильный,Тропики
Фиалка,Розовый,слабый,Африка
Васильки,Бордовый,умеренный,Средняя полоса
Роза,Бордовый,слабый,Африка
Пион,Синий,слабый,Австралия
Фиалка,Бордовый,слабый,Европа
Орхидея,Жёлтый,умеренный,Азия
Мак,Жёлтый,сильный,Америка
Лилия,Жёлтый,умеренный,Америка
Фиалка,Оранжевый,слабый,Тропики
Хризантема,Красный,сильный,Азия
Ирис,Фиолетовый,слабый,Африка
Лилия,Жёлтый,умеренный,Африка
Васильки,Жёлтый,слабый,Субтропики
Незабудка,Белый,слабый,Средняя полоса
Гвоздика,Синий,сильный,Африка
Мак,Розовый,слабый,Африка
Васильки,Синий,слабый,Европа
Нарцисс,Красный,умеренный,Средняя полоса
Лаванда,Белый,умеренный,Европа
Незабудка,Розовый,слабый,Европа
Васильки,Бордовый,умеренный,Европа
Гвоздика,Синий,сильный,Америка
Хризантема,Фиолетовый,сильный,Африка
Пион,Белый,умеренный,Тропики
Орхидея,Оранжевый,умеренный,Субтропики
Роза,Жёлтый,сильный,Европа
Мак,Жёлтый,умеренный,Австралия
Тюльпан,Жёлтый,умеренный,Субтропики
Лаванда,Жёлтый,сильный,Тропики
Ирис,Розовый,сильный,Субтропики
Роза,Белый,умеренный,Америка
Хризантема,Фиолетовый,умеренный,Азия
Незабудка,Белый,слабый,Тропики
Нарцисс,Фиолетовый,сильный,Европа
Лаванда,Розовый,сильный,Америка
Пион,Фиолетовый,сильный,Африка
Роза,Белый,слабый,Европа
Мак,Розовый,слабый,Средняя полоса
Пион,Красный,сильный,Тропики
Лилия,Розовый,сильный,Азия
Хризантема,Красный,слабый,Азия
Ирис,Бордовый,сильный,Средняя полоса
Фиалка,Синий,слабый,Средняя полоса
Хризантема,Розовый,умеренный,Средняя полоса
Пион,Красный,сильный,Австралия
Гвоздика,Белый,слабый,Европа
Роза,Жёлтый,сильный,Европа
Роза,Красный,сильный,Африка
Мак,Бордовый,слабый,Азия
Нарцисс,Красный,сильный,Субтропики
Нарцисс,Оранжевый,умеренный,Африка
Лилия,Розовый,умеренный,Средняя полоса
Гвоздика,Красный,умеренный,Тропики
Ирис,Бордовый,сильный,Африка
Гвоздика,Красный,умеренный,Тропики
Нарцисс,Синий,слабый,Австралия
Ирис,Фиолетовый,сильный,Австралия
Тюльпан,Бордовый,умеренный,Тропики
Роза,Оранжевый,умеренный,Средняя полоса
Фиалка,Оранжевый,умеренный,Средняя полоса
Гвоздика,Синий,умеренный,Азия
Пион,Оранжевый,умеренный,Субтропики
Фиалка,Фиолетовый,умеренный,Субтропики
Фиалка,Фиолетовый,слабый,Азия
Лилия,Жёлтый,сильный,Азия
Тюльпан,Розовый,сильный,Европа
Тюльпан,Синий,слабый,Африка
Тюльпан,Фиолетовый,сильный,Америка
Мак,Фиолетовый,сильный,Африка
Мак,Жёлтый,сильный,Америка
Тюльпан,Фиолетовый,слабый,Африка
Ирис,Бордовый,слабый,Европа
Лаванда,Розовый,слабый,Тропики
Орхидея,Синий,сильный,Америка
Лаванда,Синий,слабый,Австралия
Фиалка,Фиолетовый,умеренный,Азия
Гвоздика,Жёлтый,слабый,Австралия
Гвоздика,Оранжевый,слабый,Австралия
Мак,Белый,умеренный,Средняя полоса
Лаванда,Фиолетовый,слабый,Азия
Тюльпан,Розовый,слабый,Австралия
Нарцисс,Розовый,слабый,Америка
Орхидея,Жёлтый,слабый,Европа
Гвоздика,Красный,сильный,Тропики
Васильки,Оранжевый,сильный,Африка
Орхидея,Бордовый,слабый,Средняя полоса
Фиалка,Розовый,умеренный,Америка
Ирис,Красный,умеренный,Европа
Орхидея,Синий,сильный,Австралия
Незабудка,Белый,слабый,Тропики
Лаванда,Оранжевый,слабый,Европа
Тюльпан,Бордовый,умеренный,Тропики
Роза,Бордовый,умеренный,Европа
Пион,Фиолетовый,слабый,Австралия
Гвоздика,Фиолетовый,сильный,Тропики
Лилия,Фиолетовый,слабый,Субтропики
Ирис,Оранжевый,сильный,Субтропики
Тюльпан,Розовый,слабый,Азия
Тюльпан,Розовый,слабый,Тропики
Незабудка,Белый,сильный,Австралия
Тюльпан,Белый,слабый,Австралия
Гвоздика,Оранжевый,умеренный,Тропики
Мак,Белый,слабый,Тропики
Фиалка,Синий,слабый,Африка
Гвоздика,Фиолетовый,сильный,Америка
Лаванда,Розовый,умеренный,Средняя полоса
Пион,Белый,слабый,Африка
Тюльпан,Розовый,умеренный,Африка
Роза,Розовый,умеренный,Австралия
Роза,Фиолетовый,сильный,Субтропики
Тюльпан,Оранжевый,умеренный,Средняя полоса
Лаванда,Фиолетовый,умеренный,Азия
