name,color,aroma,regions
Васильки,Белый,слабый,Европа
Васильки,Белый,слабый,Америка
Васильки,Белый,умеренный,Америка
Васильки,Белый,умеренный,Австралия
Васильки,Белый,умеренный,Азия
Васильки,Белый,сильный,Австралия
Васильки,Бордовый,слабый,Америка
Васильки,Бордовый,слабый,Австралия
Васильки,Бордовый,умеренный,Азия
Васильки,Бордовый,умеренный,Африка
Васильки,Бордовый,умеренный,Средняя полоса
Васильки,Бордовый,умеренный,Америка
Васильки,Бордовый,умеренный,Азия
Васильки,Бордовый,умеренный,Европа
Васильки,Бордовый,сильный,Субтропики
Васильки,Бордовый,сильный,Африка
Васильки,Бордовый,сильный,Европа
Васильки,Жёлтый,слабый,Америка
Васильки,Жёлтый,слабый,Субтропики
Васильки,Жёлтый,умеренный,Субтропики
Васильки,Жёлтый,умеренный,Азия
Васильки,Жёлтый,сильный,Америка
Васильки,Жёлтый,сильный,Европа
Васильки,Красный,слабый,Америка
Васильки,Красный,слабый,Тропики
Васильки,Красный,слабый,Субтропики
Васильки,Красный,слабый,Азия
Васильки,Красный,умеренный,Тропики
Васильки,Красный,умеренный,Тропики
Васильки,Оранжевый,слабый,Средняя полоса
Васильки,Оранжевый,слабый,Европа
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Субтропики
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Средняя полоса
Васильки,Оранжевый,сильный,Африка
Васильки,Розовый,слабый,Тропики
Васильки,Розовый,слабый,Азия
Васильки,Розовый,слабый,Америка
Васильки,Розовый,умеренный,Тропики
Васильки,Розовый,сильный,Европа
Васильки,Розовый,сильный,Тропики
Васильки,Синий,слабый,Тропики
Васильки,Синий,слабый,Европа
Васильки,Синий,слабый,Средняя полоса
Васильки,Синий,слабый,Австралия
Васильки,Синий,слабый,Африка
Васильки,Синий,умеренный,Тропики
Васильки,Синий,умеренный,Средняя полоса
Васильки,Синий,умеренный,Америка
Васильки,Синий,умеренный,Азия
Васильки,Синий,умеренный,Австралия
Васильки,Синий,сильный,Африка
Васильки,Синий,сильный,Средняя полоса
Васильки,Синий,сильный,Европа
Васильки,Фиолетовый,слабый,Азия
Васильки,Фиолетовый,умеренный,Африка
Васильки,Фиолетовый,умеренный,Австралия
Васильки,Фиолетовый,умеренный,Субтропики
Васильки,Фиолетовый,умеренный,Австралия
Васильки,Фиолетовый,сильный,Средняя полоса
Васильки,Фиолетовый,сильный,Средняя полоса
Гвоздика,Белый,слабый,Европа
Гвоздика,Белый,слабый,Тропики
Гвоздика,Белый,умеренный,Австралия
Гвоздика,Белый,сильный,Азия
Гвоздика,Белый,сильный,Средняя полоса
Гвоздика,Бордовый,слабый,Австралия
Гвоздика,Бордовый,слабый,Тропики
Гвоздика,Бордовый,умеренный,Азия
Гвоздика,Бордовый,сильный,Европа
Гвоздика,Жёлтый,слабый,Австралия
Гвоздика,Жёлтый,слабый,Австралия
Гвоздика,Жёлтый,умеренный,Средняя полоса
Гвоздика,Жёлтый,умеренный,Тропики
Гвоздика,Жёлтый,умеренный,Австралия
Гвоздика,Жёлтый,сильный,Тропики
Гвоздика,Жёлтый,сильный,Тропики
Гвоздика,Жёлтый,сильный,Субтропики
Гвоздика,Жёлтый,сильный,Субтропики
Гвоздика,Красный,слабый,Субтропики
Гвоздика,Красный,слабый,Австралия
Гвоздика,Красный,слабый,Африка
Гвоздика,Красный,умеренный,Европа
Гвоздика,Красный,умеренный,Тропики
Гвоздика,Красный,умеренный,Америка
Гвоздика,Красный,умеренный,Тропики
Гвоздика,Красный,сильный,Тропики
Гвоздика,Красный,сильный,Средняя полоса
Гвоздика,Красный,сильный,Америка
Гвоздика,Оранжевый,слабый,Азия
Гвоздика,Оранжевый,слабый,Америка
Гвоздика,Оранжевый,слабый,Австралия
Гвоздика,Оранжевый,умеренный,Тропики
Гвоздика,Оранжевый,сильный,Средняя полоса
Гвоздика,Оранжевый,сильный,Америка
Гвоздика,Розовый,слабый,Австралия
Гвоздика,Розовый,слабый,Африка
Гвоздика,Розовый,слабый,Америка
Гвоздика,Розовый,слабый,Европа
Гвоздика,Розовый,умеренный,Тропики
Гвоздика,Розовый,умеренный,Тропики
Гвоздика,Розовый,умеренный,Австралия
Гвоздика,Розовый,умеренный,Америка
Гвоздика,Розовый,сильный,Тропики
Гвоздика,Розовый,сильный,Австралия
Гвоздика,Синий,слабый,Америка
Гвоздика,Синий,слабый,Америка
Гвоздика,Синий,слабый,Америка
Гвоздика,Синий,слабый,Америка
Гвоздика,Синий,слабый,Тропики
Гвоздика,Синий,умеренный,Австралия
Гвоздика,Синий,умеренный,Азия
Гвоздика,Синий,умеренный,Средняя полоса
Гвоздика,Синий,умеренный,Европа
Гвоздика,Синий,умеренный,Субтропики
Гвоздика,Синий,умеренный,Америка
Гвоздика,Синий,умеренный,Европа
Гвоздика,Синий,сильный,Африка
Гвоздика,Синий,сильный,Африка
Гвоздика,Синий,сильный,Америка
Гвоздика,Фиолетовый,слабый,Америка
Гвоздика,Фиолетовый,слабый,Азия
Гвоздика,Фиолетовый,слабый,Австралия
Гвоздика,Фиолетовый,умеренный,Европа
Гвоздика,Фиолетовый,умеренный,Австралия
Гвоздика,Фиолетовый,умеренный,Субтропики
Гвоздика,Фиолетовый,умеренный,Европа
Гвоздика,Фиолетовый,сильный,Австралия
Гвоздика,Фиолетовый,сильный,Азия
Гвоздика,Фиолетовый,сильный,Тропики
Гвоздика,Фиолетовый,сильный,Тропики
Гвоздика,Фиолетовый,сильный,Америка
Ирис,Белый,слабый,Африка
Ирис,Белый,слабый,Средняя полоса
Ирис,Белый,слабый,Субтропики
Ирис,Белый,слабый,Средняя полоса
Ирис,Белый,слабый,Африка
Ирис,Белый,умеренный,Тропики
Ирис,Белый,умеренный,Азия
Ирис,Белый,умеренный,Средняя полоса
Ирис,Белый,умеренный,Африка
Ирис,Белый,умеренный,Средняя полоса
Ирис,Белый,умеренный,Америка
Ирис,Белый,сильный,Субтропики
Ирис,Белый,сильный,Америка
Ирис,Бордовый,слабый,Азия
Ирис,Бордовый,слабый,Австралия
Ирис,Бордовый,слабый,Африка
Ирис,Бордовый,слабый,Америка
Ирис,Бордовый,слабый,Субтропики
Ирис,Бордовый,слабый,Америка
Ирис,Бордовый,слабый,Австралия
Ирис,Бордовый,слабый,Европа
Ирис,Бордовый,умеренный,Европа
Ирис,Бордовый,умеренный,Америка
Ирис,Бордовый,умеренный,Средняя полоса
Ирис,Бордовый,умеренный,Америка
Ирис,Бордовый,умеренный,Средняя полоса
Ирис,Бордовый,сильный,Европа
Ирис,Бордовый,сильный,Африка
Ирис,Бордовый,сильный,Средняя полоса
Ирис,Бордовый,сильный,Средняя полоса
Ирис,Бордовый,сильный,Азия
Ирис,Жёлтый,слабый,Австралия
