name,color,aroma,regions
Васильки,Белый,слабый,Америка
Васильки,Белый,слабый,Европа
Васильки,Белый,умеренный,Азия
Васильки,Белый,умеренный,Америка
Васильки,Белый,умеренный,Австралия
Васильки,Белый,сильный,Австралия
Васильки,Бордовый,слабый,Америка
Васильки,Бордовый,слабый,Австралия
Васильки,Бордовый,умеренный,Азия
Васильки,Бордовый,умеренный,Африка
Васильки,Бордовый,умеренный,Европа
Васильки,Бордовый,умеренный,Средняя полоса
Васильки,Бордовый,умеренный,Азия
Васильки,Бордовый,умеренный,Америка
Васильки,Бордовый,сильный,Африка
Васильки,Бордовый,сильный,Европа
Васильки,Бордовый,сильный,Субтропики
Васильки,Жёлтый,слабый,Субтропики
Васильки,Жёлтый,слабый,Америка
Васильки,Жёлтый,умеренный,Азия
Васильки,Жёлтый,умеренный,Субтропики
Васильки,Жёлтый,сильный,Европа
Васильки,Жёлтый,сильный,Америка
Васильки,Красный,слабый,Азия
Васильки,Красный,слабый,Субтропики
Васильки,Красный,слабый,Тропики
Васильки,Красный,слабый,Америка
Васильки,Красный,умеренный,Тропики
Васильки,Красный,умеренный,Тропики
Васильки,Оранжевый,слабый,Европа
Васильки,Оранжевый,слабый,Средняя полоса
Васильки,Оранжевый,умеренный,Средняя полоса
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Австралия
Васильки,Оранжевый,умеренный,Субтропики
Васильки,Оранжевый,сильный,Африка
Васильки,Розовый,слабый,Азия
Васильки,Розовый,слабый,Тропики
Васильки,Розовый,слабый,Америка
Васильки,Розовый,умеренный,Тропики
Васильки,Розовый,сильный,Европа
Васильки,Розовый,сильный,Тропики
Васильки,Синий,слабый,Средняя полоса
Васильки,Синий,слабый,Европа
Васильки,Синий,слабый,Африка
Васильки,Синий,слабый,Австралия
Васильки,Синий,слабый,Тропики
Васильки,Синий,умеренный,Средняя полоса
Васильки,Синий,умеренный,Америка
Васильки,Синий,умеренный,Австралия
Васильки,Синий,умеренный,Тропики
Васильки,Синий,умеренный,Азия
Васильки,Синий,сильный,Европа
Васильки,Синий,сильный,Средняя полоса
Васильки,Синий,сильный,Африка
Васильки,Фиолетовый,слабый,Азия
Васильки,Фиолетовый,умеренный,Австралия
Васильки,Фиолетовый,умеренный,Африка
Васильки,Фиолетовый,умеренный,Австралия
Васильки,Фиолетовый,умеренный,Субтропики
Васильки,Фиолетовый,сильный,Средняя полоса
Васильки,Фиолетовый,сильный,Средняя полоса
Гвоздика,Белый,слабый,Тропики
Гвоздика,Белый,слабый,Европа
Гвоздика,Белый,умеренный,Австралия
Гвоздика,Белый,сильный,Средняя полоса
Гвоздика,Белый,сильный,Азия
Гвоздика,Бордовый,слабый,Австралия
Гвоздика,Бордовый,слабый,Тропики
Гвоздика,Бордовый,умеренный,Азия
Гвоздика,Бордовый,сильный,Европа
Гвоздика,Жёлтый,слабый,Австралия
Гвоздика,Жёлтый,слабый,Австралия
Гвоздика,Жёлтый,умеренный,Средняя полоса
Гвоздика,Жёлтый,умеренный,Тропики
Гвоздика,Жёлтый,умеренный,Австралия
Гвоздика,Жёлтый,сильный,Субтропики
Гвоздика,Жёлтый,сильный,Субтропики
Гвоздика,Жёлтый,сильный,Тропики
Гвоздика,Жёлтый,сильный,Тропики
Гвоздика,Красный,слабый,Африка
Гвоздика,Красный,слабый,Австралия
Гвоздика,Красный,слабый,Субтропики
Гвоздика,Красный,умеренный,Тропики
Гвоздика,Красный,умеренный,Тропики
Гвоздика,Красный,умеренный,Европа
Гвоздика,Красный,умеренный,Америка
